Comments,Satisfied,Unsatisfied,Average,hygenic,Unhygenic,Irrelevent ,Aggressive
"ফ্রেঞ্চ ফ্রাই ভালো ছিলো। তবে কাটিং টা আলুভাজির মত হয়ে গেছে। কিছুক্ষণ খাওয়ার পর মনে হচ্ছিলো আলুভাজি 
খাচ্ছি। এরকম ডিপফ্রাইড জিনিস কাগজের প্যাকেটে না দিয়ে কাগজের বক্সে দিলে অল্প সময়ে নেতিয়ে যাবে না।",0,0,1,0,0,0,0
"এত খারাপ খাবার আর হতে পারেনা। ক্রিস্পি চিকেনের সাতে বরফ জমা, ভাবতেই বমি বমি আসে।",0,1,0,0,0,0,0
"একদমই বাজে। হট ডগ এর ভেতরকার সজেস এ কোন মাংস ছিল না যদিও ,ওটা চিকেন হট ডগ ছিল।
 সস এর মধ্যে মরিচের গুঁড়া। খেতে পারিনি এক কামড় খেয়ে ফেলে দিয়েছি। বান এর নিচেও তোরা ছিল।
 ডাবল স্যান্ডউইচ অর্ডার দিয়েছিলাম, হাফ স্যান্ডউইচ পাঠিয়েছে। পরে যখন বলেছি যে রিপ্লেস করে দেন, দেয়নি।",0,1,0,0,0,0,0
বাজে খাবার। বালু বালু লাগে খাবারে। একদম বাজে,0,1,0,0,0,0,0
"ওর্ডার করেছিলাম চিকেন রোল, আর তারা দিলো ভেজিটেবল রোল! খুব খারাপ টেস্ট!",0,1,0,0,0,0,0
গন্ধ খাবার,0,1,0,0,0,0,0
এইটার মত ফালতু বার্গার আমি আমার জীবনেও খাই নাইই... আবার সাথে ২টা চুল ও পাওয়া গেছে। ,0,0,0,0,0,0,1
"চিজ বার্গার কিন্তু ভিতরে কোন চিজ নেই। সস্ত ৪০ টাকার বার্গার এরমতন। পেটি বলতে কিছু নাই, ময়দা পেঁয়াজের দলা",0,1,0,0,0,0,0
"খুবই বাজে, বাসি খাবার। সবই ফেলে দিতে হয়েছে। আর কখনো যেন কেউ না নেয়।",0,1,0,0,0,0,0
মেয়োনিজ খুব বাজে ছিলো। আর পরিমান অনেক কম,0,1,0,0,0,0,0
খাবার ভালো ছিলো না,0,1,0,0,0,0,0
"এতো বাজে এতো বাজে বলে বোঝানো যাবে না, লবণ দিয়ে ভরা ছিলো। আর কেক টা কতো দিন আগের আল্লাহ জানে। ",0,1,0,0,0,0,0
রেড ভেলভেটের উপরের লেয়ার খুবই শক্ত ছিল৷ মনে হচ্ছিল ৩/৪দিনের বাসি৷,0,1,0,0,0,0,0
"শালা বাটপার,শুধু রাইস আর সবজি ছাড়া কিছু দেয়।খাবারও খুবই বাজে ছিলো।",0,0,0,0,0,0,1
"খাবার একদম ই ঠান্ডা ছিল। ১ ঘণ্টা পর খাবার দিয়েছে। চিকেন বার্গার অর্ডার ছিল, 
কিন্তু খাবারে মাছের আঁশের একটা পঁচা গন্ধ ছিল।",0,1,0,0,0,0,0
খাবার টেস্ট ভালো ছিল কিন্তু গরুর মাংস শক্ত ছিল।,0,0,1,0,0,0,0
"উনাদের খাবার একবার খেলে আপনি সারা জীবন মনে রাখবেন, ভালর দিকে না খারাপের দিকে",0,1,0,0,0,0,0
খারাপ ছিলোনা তবে তান্দুরী চিকেনে লবন কম ছিলো। প্যাকেজিং আরো উনোত্ত করতে হবে।,0,0,1,0,0,0,0
খাবারটা ভালো ছিলো।,1,0,0,0,0,0,0
"খাবার একদমই ভালো ছিল না।বাসি পচা খাবার দিছে,তেহারির মাংস এতটা বাজে ছিল।
মনে হচ্ছিলযে মাংস না বিস্কুট খাচ্চি।",0,1,0,0,0,0,0
খাবারের কোয়ালিটি খুবই খারাপ,0,1,0,0,0,0,0
দাম অনুযায়ী খাবারের মান ভাল ছিল না। ১৪০ টাকার বার্গার দেখে মনে হলো এর স্বাদের সাথে দাম ৫০-৭০ হলেই হতো।,0,1,0,0,0,0,0
"খিচুরি অনেক আগের রান্না ছিল শুধু গরম করে সার্ভ করা হলো।
হলুদের গন্ধে খাওয়া যায় না।ফ্রাই চিকেন লবনাক্ত। ভালো না",0,1,0,0,0,0,0
বাজে খাবার আমি জীবনেও খাই নাই। সব গুলা বাশি খাবার ছিল। ফ্রিজে ছিল। গরম করে দিছে। গন্ধ ছিল খাবারে,0,1,0,0,0,0,0
চিকেন বিরিয়ানি খুব খুবই বাজে টেস্ট ছিল। তবে খিচুড়ি মজার ছিল এখানের।,0,0,1,0,0,0,0
খাবারের মান ভালো।,1,0,0,0,0,0,0
"বিফ জালি কাবাব আর মাটন জালি কাবাবের কোনটাতেই বিফ বা মাটনের ছিটে ফোটাও আভাস পাওয়া গেল না। 
একই জিনিস ভাজা দুটা দু প্যাকেটে ভরে ডেলিভারি করা হয়েছে। স্বাদ,গন্ধ কোনটাই ভালো নয়। 
এভাবে লোক ঠকান কেন? কেমনতর ব্যবসা এগুলো? সবাইকে বলছি এখানে ঠকতে আসবেন না।",0,1,0,0,0,0,0
"খাবারের কোয়ালিটি প্রচুর বাজে। পঁচা খাবার প্যাকেট করে পাঠিয়ে দিয়েছে, 
প্যাকেট খোলার আগে থেকেই বিশ্রি গন্ধ বের হচ্ছিলো, ইয়াক। আবার খুদের চাল দিয়ে রান্না করেছিলো।",0,1,0,0,0,0,0
"ফালতু খাবার,,খুবই বাজে,, ১০০% এভয়েড করা উচিত",0,1,0,0,0,0,0
"বেশি ভালো ছিলো না।চিকেনের নামে গলা,কলিজা দিয়ে দিছে।লবণ বেশি ছিল,
২ টা মোগলাই তুলনামূলক কম ছিলো। ছালাদ দিতে কিপটামি কেনো করে বুঝি না।",0,0,1,0,0,0,0
পঁচা খিচুড়ি দিছে,0,1,0,0,0,0,0
"চিকেন মোগলাই টা ছিলো মোটামুটি বাট কোন অর্ডার ডেলিভারি দেওয়ার আগে যদি
 সেটা গরম ভেজে ডেলিভারি করেন তবে বেটার হয় ।",0,0,1,0,0,0,0
পুরাই ফালতু..... মুরগির ফ্রাই ছিল এক কথা জগন্য,0,1,0,0,0,0,0
খাবার বাসি বাসি গ্রান আসে আর একটু ভালো হওয়ার দরকার,0,0,1,0,0,0,0
ফালতু খাবার। ঠকানো খাবার। ফুলস্টপ এ আরও বড় সাইজের পাওয়া যায় এই দামে। লোক ঠকানো ব্যবসা চলছে।,0,1,0,0,0,0,0
"একদম বাজে ছিল। চিজ ছিল না বললেই চলে, ঠান্ডা, বাসি বাসি মনে হইছে",0,1,0,0,0,0,0
খাবারে তেলাপোকা ছিল এদের বিরুদ্ধে মামলা করা উচিৎ। কিভাবে এই কাজ তারা???,0,0,0,0,1,0,0
"খাবার টেস্ট ভালো না,রাইস কম ছিল ভেজিটেবল মিসিং!",0,1,0,0,0,0,0
খুবই বাজে। এমন বাজে খাবার আমি কখনো খাই নাই। ৫০ টাকা দিয়া খাইলেও লস। কি দিলো এইগুলা।,0,1,0,0,0,0,0
বিফ কাচ্চি খুব উন্নত মানের বাজে খাবার.. কিছু টাকা বেশি নেন তাও মানুষকে ভালো খাওয়ানোর চেষ্টা করুন,0,1,0,0,0,0,0
বার্গার এ ঐ পাতাটা না দিলে ভালো হতো,0,0,1,0,0,0,0
কাচ্চি ভালো লাগছে। বার্গার মোটামুটি ভালো। দামের তুলনায় ঠিক আছে।,1,0,0,0,0,0,0
চিকেন গুলো অস্থির,1,0,0,0,0,0,0
"একদম পচা বাসি খাবার। এই খাবার জেনে কেউ ফ্রিতেও নিবেনা।খুবই জঘন্য। 
এতোটা বাজে কেউ বিক্রি করে কিভাবে।টাকা বাড়িয়ে মান ভালো করলেও তো পারেন।লোক ঠকানো",0,1,0,0,0,0,0
"এদের স্যান্ডউইচে চুল পাওয়া যায়, কে জানে কোথায় কীভাবে বানায়!!!! 
ক্রিস্পি বার্গারে মাংসই এতোই কম ছিল যে ছিল না বললেই চলে",0,0,0,0,1,0,0
"ফ্রাইড রাইসঃ খুব ভাল, চিকেন ফ্রাইঃ জঘন্য (পুরাই বাটপারি ), সবজিঃ ভাল, সালাদঃ ভাল।",0,0,1,0,0,0,0
খাবারের মান একদম বাজে। মনে হয় আগের দিনের খাবার গরম করে দিয়েছে। বাজে গন্ধ।,0,1,0,0,0,0,0
একদম ফালতু বার্গার।আর চিকেন ফ্রাইড কাঁচা। ছি,0,0,0,0,0,0,0
"আমি বিফ তেহারি অর্ডার করেছিলাম। পরিমাণ যতেষ্ট ছিল, স্বাদ মোটামুটি‌।
 মাংস আরেকটু বাড়িয়ে দিলে ভালো হতো ‌ আর মাংসের স্বাদ কম ছিল, জানিনা কেন এমন লেগেছে।",0,0,1,0,0,0,0
তেহরীতে লবণ দেওয়া হইছিলো না।,0,1,0,0,0,0,0
"আমি ফুল মাটন কাচ্চি অর্ডার করেছিলাম কিন্তু দুইটা গরুর হাড় দিয়েছে কাচ্চির পরিমাণ খুবই কম ছিল 
আমার টাকাগুলো নষ্ট। ২৯৫ টাকা রিফান্ড করার জন্য অনুরোধ করলাম",0,1,0,0,0,0,0
"বিফ খিচুড়ী-একদম ঠান্ডা কাচ্চী- আলু ছিল না চিকেন বিরিয়ানী-মুরগী টা অনেকদিন এর পুরোনো।
 ভাত-পর্যাপ্ত ছিলো। গরুর লাল ভুনা- মাত্র এক পিস মাংস ছিল। বাকীবসব চর্বি হাড্ডী ফ্যাপসা। ঠান্ডা জমে গিয়েছিল।",0,1,0,0,0,0,0
কাচ্চিতে শুধুই হাড্ডি। মাংস খুঁজে পাওয়া মুশকিল। তবে স্বাদ ঠিক ছিল।,0,0,1,0,0,0,0
আর একটু ভাল হওয়া দরকার ছিল। গরম ছিল না এবং মাংস ভাল ভাবে সীদ্ধ হইনাই।,0,0,1,0,0,0,0
খুব সুস্বাদু।,1,0,0,0,0,0,0
জাম্বো বার্গার ওর্ডার করেছিলাম। সাইজ এবং পরিমাণ মোটামুটি ঠিকঠাক ছিলো। কিন্তু দাম অনুযায়ী টেস্টটা ভালো ছিলো না। এর থেকে কম দামে আরও ভালো টেস্ট এর বার্গার পাওয়া যায়।,0,0,1,0,0,0,0
বার্গারের টেস্ট মোটেও ভালো ছিলো না .,0,1,0,0,0,0,0
ভেলপুরি টা একে বারেই ভালো হয়নি,0,1,0,0,0,0,0
"ফুচকা, বেলপুরি অনেক মজাদার ছিল৷ চটপটিও। স্পেশালি টকটা অনেক বেশিই মজাদার।",1,0,0,0,0,0,0
পিজ্জাটা খুব বাজে ছিল।,0,1,0,0,0,0,0
"খাবার এর মান ভালো ছিলো,,,কিন্তু এইটা হাইদ্রাবাদি ছিলো নাহ,",0,0,1,0,0,0,0
"খাবার দারুন।দাম অনুযায়ী পরিমানও ভালো।আজ দুই বার অরডার করলাম।খুব ভাল খাবার।
শুধু লবনটা একটু বেশি দেয়া হইছে।এই ব্যাপারে লক্ষ রাখবেন।",1,0,0,0,0,0,0
বিরিয়ানির জাত ই না এইটা। টাকাটাই জলে গেল।,0,0,0,0,0,0,1
মোরগ পিচ ঠান্ডা,0,1,0,0,0,0,0
খাবারের মান মোটামুটি হলেও পরিমাণ দামের তুলনায় কম।,0,0,1,0,0,0,0
সত্যি খুবই ভালো লাগছে খাবার টা। কিন্তু সালাদ থাকার কথা ছিল সাথে। সালাদ দেয় নাই।,0,0,1,0,0,0,0
কলিজা সিঙারার থেকে মাছের গন্ধ!! পুরাই হাস্যকর!!!,0,0,0,0,0,1,0
ভাল না খাবারগুলো,0,1,0,0,0,0,0
"খুবই খারাপ, ডিম দেয় নাই",0,1,0,0,0,0,0
"একটা জঘন্য পিজ্জা ছিলো...টেস্টলেস...অর্ধেকটাও খেতে পারি নাই...শহরে মনে হয় সবচেয়ে বাজে পিজ্জা
সাইজের তুলনায় দাম অনেক বেশি ছিলো...বাজে..ছিঃ",0,0,0,0,0,0,1
"খাবার ভাল না, পিজ্জা কাচা ছিল, মাংস খুব অল্প",0,1,0,0,0,0,0
খাবারের মান খুব ভালো,1,0,0,0,0,0,0
খাবার তুলনামূলক অনেক ভালো ছিল।,1,0,0,0,0,0,0
দিন দিন এদের চটপটির টেস্ট একদম ফালতু হয়ে যাচ্ছে।,0,1,0,0,0,0,0
চটপটি মোটেও ভালো না খালি পানি দিয়ে ভরা কোন ডাল নাই কিছু নাই আর বাসি বাসি গন্ধ।,0,1,0,0,0,0,0
খিচুড়িটা বেশ ভাল ছিল।,1,0,0,0,0,0,0
খিচুরিিটা ফ্রেশ ছিলো,0,0,0,1,0,0,0
অনেক ভালো ছিল খারের মান,1,0,0,0,0,0,0
বোরহানিতে বড় কালো পিপড়া ছিলো। পুরো হাফ লিটারই ফালানো গেছে,0,0,0,0,1,0,0
খাবারের মান আগের থেকে অনেক ভালো হয়েছে ধন্যবাদ আপনাদের,1,0,0,0,0,0,0
ডিম পুলাও ভালো কিন্তু কম।,0,0,1,0,0,0,0
তেহেরির কোয়ালিটি আগের থেকে খারাপ হয়ে গেছে,0,1,0,0,0,0,0
খুব বেশি বাজে খাবার,0,1,0,0,0,0,0
"বাজে কোয়ালিটি। পোলাও একদম শুকিয়ে ছিল, চালের মত ছিল কিছু শক্ত।
 সালাদ ও একদম বাজে কন্ডিশন। তবে সব মিলে খুব বেশি ক্ষুদা থাকলে চলবে এটা।",0,1,0,0,0,0,0
খুব খারাপ মুরগী থেকে পচা গন্ধ বেরোচ্ছে,0,1,0,0,0,0,0
খাবারের কোয়ালিটি আর টেস্ট খুব ভালো ছিলো,0,0,0,1,0,0,0
চটপটি ভালো ছিলো..ফুচকাও ভালো ছিলো তবে টক টা তেমন ভালো ছিলো না,0,0,1,0,0,0,0
"খাবার খুব ভাল ছিল আমি রেগুলার এখান থেকে খাবার নিয়ে, গুণগত মান খুব ভালো এবং প্যাকেজিং বেটার।
 সবাই ট্রাই করে দেখতে পারেন।",0,0,0,1,0,0,0
19/08/21 তারিখে নুডুলস নিয়েছিলাম দারুন টেষ্টি ও পরিমানে ও যথেষ্ট ছিলো।,1,0,0,0,0,0,0
খাবারের টেস্ট খুবই ভালো। খাবার মান খুব ভালো,1,0,0,0,0,0,0
